Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,-172.429249,-110.044151,225.000000,bottom
C2,0.1uF,C_0805_2012Metric,-189.407800,-111.226600,45.000000,bottom
C3,0.1uF,C_0805_2012Metric,-184.708800,-124.129800,315.000000,bottom
C7,1uF,C_0805_2012Metric,-186.182000,-108.356400,45.000000,bottom
C8,22pF,C_0805_2012Metric,-191.109600,-117.678200,135.000000,bottom
C9,22pF,C_0805_2012Metric,-186.334401,-122.453400,315.000000,bottom
D1,D_Small,D_SOD-123,-109.550200,-47.142400,90.000000,bottom
D2,D_Small,D_SOD-123,-127.076200,-47.142400,90.000000,bottom
D3,D_Small,D_SOD-123,-130.149600,-47.142400,90.000000,bottom
D4,D_Small,D_SOD-123,-165.201600,-47.142400,90.000000,bottom
D5,D_Small,D_SOD-123,-168.249600,-47.117000,90.000000,bottom
D6,D_Small,D_SOD-123,-185.724800,-47.091600,90.000000,bottom
D14,D_Small,D_SOD-123,-109.524800,-66.014600,90.000000,bottom
D15,D_Small,D_SOD-123,-127.152400,-66.040000,90.000000,bottom
D16,D_Small,D_SOD-123,-130.022600,-66.014600,90.000000,bottom
D17,D_Small,D_SOD-123,-165.252400,-65.989200,90.000000,bottom
D18,D_Small,D_SOD-123,-168.148000,-65.989200,90.000000,bottom
D19,D_Small,D_SOD-123,-185.724800,-65.989200,90.000000,bottom
D27,D_Small,D_SOD-123,-113.360200,-85.115400,90.000000,bottom
D28,D_Small,D_SOD-123,-131.902200,-85.115400,90.000000,bottom
D29,D_Small,D_SOD-123,-134.874000,-85.115400,90.000000,bottom
D30,D_Small,D_SOD-123,-169.976800,-85.115400,90.000000,bottom
D31,D_Small,D_SOD-123,-172.923200,-85.115400,90.000000,bottom
D32,D_Small,D_SOD-123,-190.449200,-85.090000,90.000000,bottom
D40,D_Small,D_SOD-123,-118.287800,-104.317800,90.000000,bottom
D41,D_Small,D_SOD-123,-141.351000,-104.343200,90.000000,bottom
D42,D_Small,D_SOD-123,-144.348200,-104.343200,90.000000,bottom
D43,D_Small,D_SOD-123,-179.451000,-104.343200,90.000000,bottom
D44,D_Small,D_SOD-123,-182.499000,-104.343200,90.000000,bottom
D53,D_Small,D_SOD-123,-119.075200,-123.469400,90.000000,bottom
D54,D_Small,D_SOD-123,-145.846800,-123.494800,90.000000,bottom
D55,D_Small,D_SOD-123,-149.479000,-123.494800,90.000000,bottom
D58,D_Small,D_SOD-123,-200.050400,-126.034800,40.000000,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,-143.535400,-50.266600,90.000000,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-147.624800,-33.172400,0.000000,bottom
R1,22r,R_0805_2012Metric,-148.818600,-57.150000,270.000000,bottom
R2,22r,R_0805_2012Metric,-146.431000,-57.150000,270.000000,bottom
R3,10k,R_0805_2012Metric,-173.990000,-121.589800,45.000000,bottom
R4,10k,R_0805_2012Metric,-207.873600,-99.847400,310.000000,bottom
R5,5.1k,R_0805_2012Metric,-128.600200,-36.957000,0.000000,bottom
R6,5.1k,R_0805_2012Metric,-166.674800,-37.033200,180.000000,bottom
RESET,SW_Push,SW_SPST_TL3342,-213.207600,-95.504000,40.000000,bottom
U1,ATmega32U2-AU,TQFP-32_7x7mm_P0.8mm,-181.025800,-115.646200,225.000000,bottom
U2,SRV05-4,SOT-23-6,-147.574000,-50.266600,0.000000,bottom
X1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,-188.772800,-120.065800,225.000000,bottom
